"type","name","size","width","delay","content","color","alignment","barrier","visible"
"audio","kuvfsel_kmodu_blook_lanferda_bod_tustlakapo_redler_lanferda_sool_aud","","","","kuvfsel_kmodu_blook_lanferda_bod_tustlakapo_redler_lanferda_sool_harmony1.mp3","","",false,false
"image","refOnRedSkateboard_banditNexttoBlueSkateboard_tap5_img","","200px","","refOnRedSkateboard_banditNexttoBlueSkateboard_tap5_harmony1.png","","","",""
"text","bod_blook_lanferda_kmodupoo_sool_redler_lanferda_tlakapo_fsellav_text","2em","","","bod blook lanferda kmodupoo sool redler lanferda tlakapo fsellav","","center","",""
"audio","bod_blook_lanferda_kmodupoo_sool_redler_lanferda_tlakapo_fsellav_aud","","","","bod_blook_lanferda_kmodupoo_sool_redler_lanferda_tlakapo_fsellav_harmony1.mp3","","",false,false
"image","refOnRedSkateboard_banditNexttoBlueSkateboard_tap6_img","","200px","","refOnRedSkateboard_banditNexttoBlueSkateboard_tap6_harmony1.png","","","",""
"text","kmoduhao_bod_blook_lanferda_fsel_tlakapokas_sool_redler_lanferda_text","2em","","","kmoduhao bod blook lanferda fsel tlakapokas sool redler lanferda","","center","",""
"audio","kmoduhao_bod_blook_lanferda_fsel_tlakapokas_sool_redler_lanferda_aud","","","","kmoduhao_bod_blook_lanferda_fsel_tlakapokas_sool_redler_lanferda_harmony1.mp3","","",false,false
"text","understand1Instr1_text","","","","TBD. Learn 1","","center","",""
"image","ref2_img","","200px","","ref2_harmony1.png","","","",""
"image","ref3_img","","200px","","ref3_harmony1.png","","","",""
"text","understand2Instr1_text","","","","TBD. Learn 1","","center","",""
"video","chef_vid","","400px","","chef.mp4","","",false,""
"video","ref2_vid","","400px","","ref2.mp4","","",false,""
"text","fsel_text","2em","","","fsel","","center","",""
"audio","fsel_aud","","","","fsel_harmony1.mp3","","",false,false
"video","tap_vid","","400px","","tap.mp4","","",false,""
"video","ref3_vid","","400px","","ref3.mp4","","",false,""
"text","understand3Instr1_text","","","","TBD. Learn 3.","","center","",""
"image","ChefUnderTable1_img","","200px","","ChefUnderTable1_harmony1.png","","","",""
"image","chef1_img","","200px","","chef1_harmony1.png","","","",""
"image","bandit1_img","","200px","","bandit1_harmony1.png","","","",""
"image","ChefUnderTable2_img","","200px","","ChefUnderTable2_harmony1.png","","","",""
"image","chef2_img","","200px","","chef2_harmony1.png","","","",""
"image","bandit2_img","","200px","","bandit2_harmony1.png","","","",""
"text","understand4Instr1_text","","","","TBD. Understand 4","","center","",""
"image","refOnRedSkateboard_img","","200px","","refOnRedSkateboard_harmony1.png","","","",""
"image","banditNexttoBlueSkateboard_img","","200px","","banditNexttoBlueSkateboard_harmony1.png","","","",""
"text","speak1Instr1_text","","","","TBD. Learn 1","","center","",""
